0 1 2
0 7 14
0 0 0
0 2 4
0 7 14
0 0 0
0 1 5
0 7 14
0 0 0
0 4 5
0 7 14
0 0 0
0 2 7
0 7 14
0 0 0
0 5 7
0 7 14
0 0 0
0 1 8
0 7 14
0 0 0
0 4 8
0 7 14
0 0 0
0 7 8
0 7 14
0 0 0
0 2 10
0 7 14
0 0 0
0 5 10
0 7 14
0 0 0
0 8 10
0 7 14
0 0 0
0 1 11
0 7 14
0 0 0
0 4 11
0 7 14
0 0 0
0 7 11
0 7 14
0 0 0
0 10 11
0 7 14
0 0 0
0 2 13
0 7 14
0 0 0
0 5 13
0 7 14
0 0 0
0 8 13
0 7 14
0 0 0
0 11 13
0 7 14
0 0 0
0 1 14
0 7 14
0 0 0
0 4 14
0 7 14
0 0 0
0 7 14
0 1 2
0 0 0
0 7 14
0 2 4
0 0 0
0 7 14
0 1 5
0 0 0
0 7 14
0 4 5
0 0 0
0 7 14
0 2 7
0 0 0
0 7 14
0 5 7
0 0 0
0 7 14
0 1 8
0 0 0
0 7 14
0 4 8
0 0 0
0 7 14
0 7 8
0 0 0
0 7 14
0 2 10
0 0 0
0 7 14
0 5 10
0 0 0
0 7 14
0 8 10
0 0 0
0 7 14
0 1 11
0 0 0
0 7 14
0 4 11
0 0 0
0 7 14
0 7 11
0 0 0
0 7 14
0 10 11
0 0 0
0 7 14
0 2 13
0 0 0
0 7 14
0 5 13
0 0 0
0 7 14
0 8 13
0 0 0
0 7 14
0 11 13
0 0 0
0 7 14
0 1 14
0 0 0
0 7 14
0 4 14
0 0 0
0 7 14
0 7 14
0 0 0
0 7 14
0 10 14
0 0 0
0 7 14
0 13 14
0 0 0
0 7 14
0 2 16
0 0 0
0 7 14
0 5 16
0 0 0
0 7 14
0 8 16
0 0 0
0 7 14
0 11 16
0 0 0
0 7 14
0 14 16
0 0 0
0 7 14
0 1 17
0 0 0
0 7 14
0 4 17
0 0 0
0 7 14
0 7 17
0 0 0
0 7 14
0 10 17
0 0 0
0 7 14
0 13 17
0 0 0
0 7 14
0 16 17
0 0 0
0 7 14
0 2 19
0 0 0
0 7 14
0 5 19
0 0 0
0 7 14
0 8 19
0 0 0
0 7 14
0 11 19
0 0 0
0 7 14
0 14 19
0 0 0
0 7 14
0 17 19
0 0 0
0 7 14
0 1 20
0 0 0
0 7 14
0 4 20
0 0 0
0 7 14
0 7 20
0 0 0
0 7 14
0 10 20
0 0 0
0 7 14
0 13 20
0 0 0
0 7 14
0 16 20
0 0 0
0 7 14
0 19 20
0 0 0
0 10 14
0 7 14
0 0 0
0 13 14
0 7 14
0 0 0
0 2 16
0 7 14
0 0 0
0 5 16
0 7 14
0 0 0
0 8 16
0 7 14
0 0 0
0 11 16
0 7 14
0 0 0
0 14 16
0 7 14
0 0 0
0 1 17
0 7 14
0 0 0
0 4 17
0 7 14
0 0 0
0 7 17
0 7 14
0 0 0
0 10 17
0 7 14
0 0 0
0 13 17
0 7 14
0 0 0
0 16 17
0 7 14
0 0 0
0 2 19
0 7 14
0 0 0
0 5 19
0 7 14
0 0 0
0 8 19
0 7 14
0 0 0
0 11 19
0 7 14
0 0 0
0 14 19
0 7 14
0 0 0
0 17 19
0 7 14
0 0 0
0 1 20
0 7 14
0 0 0
0 4 20
0 7 14
0 0 0
0 7 20
0 7 14
0 0 0
0 10 20
0 7 14
0 0 0
0 13 20
0 7 14
0 0 0
0 16 20
0 7 14
0 0 0
0 19 20
0 7 14
0 0 0
